Month,Tasks Created,Tasks Completed,Active Users,New Users,Revenue,Expenses,Projects Started,Projects Completed,Bug Reports,Feature Requests
January,120,95,450,45,125000,98000,8,3,25,18
February,135,110,475,35,135000,102000,6,5,20,22
March,150,125,520,55,145000,108000,10,4,30,25
April,140,130,545,40,140000,105000,7,6,18,20
May,165,145,580,60,155000,112000,12,8,35,28
June,155,140,590,25,150000,110000,9,7,22,24
July,170,160,615,45,165000,118000,11,9,28,30
August,160,155,625,30,160000,115000,8,10,20,26
September,180,165,650,50,175000,125000,14,11,32,35
October,175,170,665,35,170000,122000,10,12,25,30
November,190,175,680,40,180000,128000,13,14,38,40
December,185,180,695,25,185000,130000,9,15,30,38
